"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 30 11:38:02 UTC 2025","Wed Jul 30 11:38:25 UTC 2025","22902","","TestFlight üzerinden uygulama kurulumu ve açılışı","","TestFlight ile bir uygulamayı indirip aç","","TestFlight ile bir uygulamayı indirip aç",""
"passed","Wed Jul 30 11:00:08 UTC 2025","Wed Jul 30 11:00:40 UTC 2025","31241","Cloud iOS - Sequential","All Features Sequential","com.flick.runners.TestRunner","com.flick.runners.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Jul 30 11:38:02 UTC 2025","Wed Jul 30 11:38:25 UTC 2025","23177","Local iOS - Sequential","All Features Sequential","com.flick.runners.TestRunner","com.flick.runners.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Jul 30 11:00:40 UTC 2025","Wed Jul 30 11:02:06 UTC 2025","85856","Cloud iOS - Sequential","All Features Sequential","com.flick.runners.TestRunner","com.flick.runners.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Jul 30 11:38:25 UTC 2025","Wed Jul 30 11:39:29 UTC 2025","64212","","Onboarding Sürecini Tamamlama","","Kullanıcı onboarding akışını tamamlar ve uygulamayı açar","","Kullanıcı onboarding akışını tamamlar ve uygulamayı açar",""
"passed","Wed Jul 30 11:38:25 UTC 2025","Wed Jul 30 11:39:29 UTC 2025","64279","Local iOS - Sequential","All Features Sequential","com.flick.runners.TestRunner","com.flick.runners.TestRunner","runScenario","Runs Cucumber Scenarios",""
