"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 30 08:53:42 UTC 2025","Wed Jul 30 08:54:29 UTC 2025","46896","","TestFlight üzerinden uygulama kurulumu ve açılışı","","TestFlight ile bir uygulamayı indirip aç","","TestFlight ile bir uygulamayı indirip aç",""
"passed","Wed Jul 30 08:53:42 UTC 2025","Wed Jul 30 08:54:29 UTC 2025","47167","Cloud iOS - Sequential","All Features Sequential","com.flick.runners.TestRunner","com.flick.runners.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Jul 30 08:54:29 UTC 2025","Wed Jul 30 08:56:10 UTC 2025","100730","","Onboarding Sürecini Tamamlama","","Kullanıcı onboarding akışını tamamlar ve uygulamayı açar","","Kullanıcı onboarding akışını tamamlar ve uygulamayı açar",""
"passed","Wed Jul 30 08:54:29 UTC 2025","Wed Jul 30 08:56:10 UTC 2025","100782","Cloud iOS - Sequential","All Features Sequential","com.flick.runners.TestRunner","com.flick.runners.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Wed Jul 30 08:38:04 UTC 2025","Wed Jul 30 08:38:04 UTC 2025","1","Cloud iOS - Sequential","All Features Sequential","hooks.SuiteHooks","hooks.SuiteHooks","teardownPerTest","teardownPerTest",""
