"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 30 11:00:40 UTC 2025","Wed Jul 30 11:02:06 UTC 2025","85856","Cloud iOS - Sequential","All Features Sequential","com.flick.runners.TestRunner","com.flick.runners.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Jul 30 12:05:04 UTC 2025","Wed Jul 30 12:05:27 UTC 2025","22699","Local iOS - Sequential","All Features Sequential","com.flick.runners.TestRunner","com.flick.runners.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Jul 30 11:38:02 UTC 2025","Wed Jul 30 11:38:25 UTC 2025","23177","Local iOS - Sequential","All Features Sequential","com.flick.runners.TestRunner","com.flick.runners.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Jul 30 11:00:08 UTC 2025","Wed Jul 30 11:00:40 UTC 2025","31241","Cloud iOS - Sequential","All Features Sequential","com.flick.runners.TestRunner","com.flick.runners.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Jul 30 12:05:05 UTC 2025","Wed Jul 30 12:05:27 UTC 2025","22389","","TestFlight üzerinden uygulama kurulumu ve açılışı","","TestFlight ile bir uygulamayı indirip aç","","TestFlight ile bir uygulamayı indirip aç",""
"passed","Wed Jul 30 11:38:25 UTC 2025","Wed Jul 30 11:39:29 UTC 2025","64279","Local iOS - Sequential","All Features Sequential","com.flick.runners.TestRunner","com.flick.runners.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Jul 30 12:05:27 UTC 2025","Wed Jul 30 12:06:33 UTC 2025","65753","","Onboarding Sürecini Tamamlama","","Kullanıcı onboarding akışını tamamlar ve uygulamayı açar","","Kullanıcı onboarding akışını tamamlar ve uygulamayı açar",""
"passed","Wed Jul 30 12:05:27 UTC 2025","Wed Jul 30 12:06:33 UTC 2025","65829","Local iOS - Sequential","All Features Sequential","com.flick.runners.TestRunner","com.flick.runners.TestRunner","runScenario","Runs Cucumber Scenarios",""
